Reference,Content,Reaction,Comment,Share
100068,"Not a confession just a lowkey life hack:Always under quote your savings and earnings to your 'financial advisors'There's no need to show off to them Your Welcomealso, don't get trapped by ILPs-#100068: https://www.nuswhispers.com/confession/100068","['Like: 91 people', 'Haha: 17 people']",46 comments,4 shares
100432,"I have just noticed something really weird about my grandma. Is it normal for her temper to get worse as she ages? It isnt like that towards me or my brother, but to the house helper. In the past, she is really nice to them. Brother and I only had 2 since we were born for which they stayed until we got into secondary school and then they decided to leave (at separate times) to start their families. And since then, we have gotten a new one every year because my grandma isnt happy with them. She complains about how they cant do things right and when she tells them off, they look at her angrily. She tells me ""they will murder me in my sleep"" so she locks her bedroom doors. But despite her ""fear"", she still scolds them and make them cry. They never stay for long and I overheard my mother informing my grandma that another switch will incur penalties such as the employer going for special courses. The worst part of it all is that the employer is listed as my mother, who treats them really well. So if another switch happens, my mother will be the one forced onto these special classes, not my grandma. I wanted to try amd mediate so I sat down to discuss things. My grandma seems to hate this one fact the most about the current helper: she requests 3 days off per month. I find that very reasonable but my grandma says ""last time the maid will never dare ask for this because they want to save more money. Now the maid not as good."" She also says that the helper must never eat at the same table as us. Whenever I buy snavks for everyone, even including one for the helper, my grandma will refuse to give her one, and rather eat half of hers and give the helper the leftovers. She does the same for the portion I buy for the helper, so the she always eats leftovers. Another instance is when I go out for coffee and asked my grandma beforehand if she wanted coffee too. She said no and when I asked the helper of she wanted one, she smiled sweetly and asked for a small cup of kopi, very cheap. I bought that one cup home (I drank mine with a friend in store) and when my grandma learned that the coffee was for the helper, she got really thickskinned and took it from me and started to drink it, even though she said she cant drink caffeine after 4pm because she wouldnt be able to sleep???!?!? We celebrated the helper's bday a few months ago. I bought a cake and wanted to sing the song, blow out candles etc. The whole family joined in the fun and when I asked my grandma if she wanted to join us, she said ""no"" and ignored us even though we were literally in the same room, just like 5 steps apart. She spared us no attention. She treats these helpers like people in the olden days treat servants. She did grow up in a rich household, but even so I dont think it excuses the behaviour. There are so many small things like not allowing the helper to use the same brand of toilet paper as us, to like only allowing her to drink the cheaper brand of powdered coffee, or like blaming her for not doing things that she had never told her to do because of her owb failing memory.I want to help, but I have done all I can. I have to respect my elders and so all I can do is apologise on my grandma's behalf every time something happens. I really dont want to change another helper because it will be a repeat of the tiring teaching and adjustment process all over again. Any advice? -#100432: https://www.nuswhispers.com/confession/100432","['Like: 18 people', 'Wow: 2 people']",30 comments,4 shares
100429,"Hi @post 100159,I think i saw the same person too when i went to exercise at the NUS field. He was prowling around MPSH area and USC toliets and he usually wears a cap and singlet and will tend to stare at you when you goes to the toliet. I dont think this is a coincidence. Is there any way we can report this?-#100429: https://www.nuswhispers.com/confession/100429",['Like: 1 person'],4 comments,1 share
100426,"Hi, Im not too sure about laws and stuff. But my friend sounded off on multiple occasion how they had been beaten up by their parent. The parents are divorced and living seperately. The parent they stay with would elbow them in the back, push and kick them to the floor, strike them, even destroy their belongings. On a previous occasion when they defended and pushed their parent away, that parent called the police. They arrived at the house and the abuser lied saying my friend was the one assaulting her and my friend was informed that they can be arrested when they turned 21 because that constitutes as assault. Implying that my friend has to suffer the abuse from the parent and they were not able to defend themselves from the assault. The other parent's response was that my friend was the violent one.1) Can I check with people who know or people who walked this path.., at what age does one cease to be a ""child"" (though the abuse persisted since childhood, even resulting in fractured wrists). Can police or msf intervene. Are there safe spaces for my friend to move away from these emotionally manipulative and physically abusive parents?2) What else can my friend do? I doubt my friend would rock the boat, and would probably suffer in silent. I advised them to call the hospital for the xray records of the fracture, and piece together a time line, record each date they were hit. And go to the doctor for records for their injuries. 3) Also what else can I do besides listening? To me it is clear the parents both are too occupied with their own suffering to care for their flesh and blood. They even questioned my friend what they told the doctor and told them to lied and not mention the parent was the one who caused it. This is pure neglect and bullshit. And I dont want my friend to suffer. https://www.msf.gov.sg/.../Family.../Pages/default.aspx-#100426: https://www.nuswhispers.com/confession/100426","['Like: 4 people', 'Care: 4 people', 'Wow: 2 people']",9 comments,1 share
100421,"Anybody else unable to make it to SG on time to take in-person finals? The CS department seems so inflexible about it but hello? Your government is what is stopping me from getting there on time, which I completely understand! Only a finite number of travelers can be provided with quarantine requirements. It feels extremely unfair that I am being held accountable for this situation. Am I wrong for thinking this way?Thoughts?-#100421: https://www.nuswhispers.com/confession/100421","['Like: 10 people', 'Sad: 3 people', 'Haha: 1 person']",0 Comments,4 comments
100425,"As a YNC student, I feel the strong hypocrisy in NUS suddenly declaring a ""well-being day"". I fail to see how they have cared for our well-being at all when we were forcibly shut down with zero consultation. Will this ""well-being day"" really commemorate student and staff well-being and be instituted as a university holiday every 5 Nov? If it is just a one-off filler holiday this year for a long weekend, please do not insult the concept of well-being by naming it as such.-#100425: https://www.nuswhispers.com/confession/100425","['Haha: 15 people', 'Like: 14 people', 'Care: 2 people']",11 comments,1 share
100422,"tdlr: advise to stay in sg or not. in the midst of covid.. i dont know if i should apply overseas uni? honestly im so determined to get out of sg.. its not that sg is a bad country.. i do agree its stressful but i believe that stress would allow you to grow into a better person. Im just not smart enough for sg… to be honest, ive no idea how i landed on this page. im not even from nus or anywhere close to nus. im from a college, but a ‘college’ that everybody looks down on or frown upon.. (starts with ‘i’.. haha) i’ll be graduating soon though. i actually would like advises from all the semi adults here who went through the path of going overseas uni.. or is in nus currently, i dont mind. i am thinking of bachelor of psychology or veterinary sci path. (both 6-7years long) please do go ahead and flame me on how i should not be thinking of it because its costly and the path ive chosen would be tough (;-;) so that i’ll drop the idea of going overseas. thats the thing you see, im accepted into early childhood in one of the poly and truthfully speaking.. earlychildhood isnt something up my alley. is it a thriving industry? yes. is it a feasible and sustainable industry? yes yes. but i dont want to spend the next 3 years studying something that im not interested in, you get what i mean? it feels like im wasting even more time on top of the 2 years i have spent in ite (;-;) i should have just gone overseas right after my o levels..ive consulted a study abroad consultant. she had told me with my current result, i’ll be eligible for these courses, for some certain uni in australia. i’ll be able to go for the intakes for sept - nov 2022. ive contemplated for 3 to 4 months already, thinking if i should move overseas. ive been thinking if i should take a gap year for 2022 and apply in 2023.. or just work full time and apply from mar-aug, and fly there in sept 2022well, any one who says they dont want academic validation is lying to themselves.. i YEARN for academic validation for so long, and landing in ite certainly crushed me. i hate to say this but it really humbled me and despite all the validations and honours that ite gained these few years, telling ANYONE that im an o level student who failed math therefore i had to go ite really made me feel… some sort of embarrassment and pathetic. (it DOES NOT mean that im spitting on people from other streams. i just felt that i could DO BETTER from this) thanks for reading to this point ;-; i know academics are not everything. but i feel like i have high expectations for myself. are there any inputs that you want to give? genuine please, i domt mind even if youre being brutally honest. thank you -#100422: https://www.nuswhispers.com/confession/100422","['Care: 3 people', 'Like: 2 people']",15 comments,1 share
100420,Hello! I would just like to shout out to the guy at the Sh'bam class recently at Singpost FF whom I don't know and probably will never meet again that thanks for coming up and telling me I was a good dancer because no one has ever told me that before and to be honest I was abit stunned and didn't know how to respond (hence the awkward reply and awkward exit from the class without saying bye) so using this platform to give some belated hindsight thoughts that I think it's so awesome that you were game to join in such a class that's majority female and even gave someone else a compliment. Hope you will continue with the classes  Positivity begets positivity!!!-#100420: https://www.nuswhispers.com/confession/100420,"['Like: 6 people', 'Haha: 1 person']",0 Comments,1 comment
100418,"what are peoples' general thoughts on people who are obsessed with accumulating as much wealth as possible and berates people who does not think the same?i have this annoying new colleague who has a very kaypo character. he does trading as a side career and often boasts about it. there was once when we were having a casual chat at work and the convo went something like that.colleague: so what do you usually do on the weekends?me: if the weather is good and friends are available, we will play a few games of basketball. otherwise i'll just watch some movies if there are good ones. used to do some volunteering once every few months pre covid toocolleague: *proceeds to boast about his trading achievements and how he intends to purchase a branded car soon* i think people should be more like me, don't waste time on things that don't earn you money and you can live in luxury. and don't get married and have kids because wife and kids will only drain all your moneyi almost wanted to just roll my eyes and walk away. do people let their success get to their heads when they start earning a lot of money and think that they are better than others? i also heard something similar from an acquaintance in the insurance industry that people should always be productive and actively try to earn as much as possible. would like to know what you guys think. is it wrong to want to be live presently in the moment as long as one does not have bad spending habits? what makes these people think that in 10, 20, 30 years times, they will have the same energy or health to enjoy the wealth that they have been busy chasing after? are they really happy?-#100418: https://www.nuswhispers.com/confession/100418","['Like: 27 people', 'Haha: 8 people']",35 comments,4 shares
100417,"Dear Prof Ben, why is it that ""meaningful""/essential services (e.g. healthcare, civil defence, utilities) are saddled with legacy IT but the non-essential businesses (e.g. social media, quant-trading) have all the cutting-edge tech, engineering and talent? What do you think can be done to push our best and brightest CS grads away from the latter and toward the former? Would appreciate an answer beyond the usual ""pay more"". Thanks!-#100417: https://www.nuswhispers.com/confession/100417","['Like: 2 people', 'Haha: 2 people', 'Care: 1 person']",0 Comments,6 comments
100416,"Heart (Thanks for allowing to write my heart out, it was really cathartic for me to share.And thanks to Peter James Sim for your really thoughtful reply, my world seemed so much more kinder than I thought it was. Thank you for your kindness.As for the hateful comments, as I mentioned I am the villain & I didn’t get where I got by being nice so am totally unfazed by it. And if too long, then dun read lor. Lol. I would then continue the 2nd part of my story if you all would indulge me.)PS: For those who want to read part 1, its here: https://NUSWhispers.com/tag/100401A villian's standpoint (Part II)During the wedding reception, I realised that she was seated in the bride section along with all her friends. As luck would have it, I noticed she was placed right next to one of the bridesmaids. I then pluck up the courage, went to the bride & groom and expressed my fake interest in the bridesmaid & asked if I could sit next to them. The bride (who never really liked me) said dismissively at me: “Are you sure? I don’t think you are her type leh. She likes tall..”. My friend the groom then cut her mid-sentence and said: “ It’s okay lah, give T a chance.” and winked at me.With a sigh, the bride wagged her finger at me menacingly: “Ok ah, U can sit next to my sisters but I don’t want to hear any creepy comments from them.”I should be incensed at her insinuation but I was happy as a toad which found the next rock to hop onto so it didn't really bother me then. One small hop for me, but a big leap in how my life changed forever that afternoon. R and her fiancé was suprised to see me when I positioned myself between them and the bridesmaids.As I wasn't really into the bridesmaid and she clearly held contempt for me like her friend, we didn't really talk much as I focused on talking with R, all the while her fiancé having his arms around her shoulders to mark his dominance. As we talked, I dug into my memory to remember all the things she liked on her Facebook Profile, the pages she liked as I tried to guide our conversations towards common themes between our lives & the causes that she supports. I also regaled her with funny stories of our common friend P from our childhood together. As I made her laughed and chuckled, I saw how jaw-dropping captivating she looked. The glimmer in her eyes was resplendent with this particular doeful joy. I desired her definitely from the first time I met her so many years ago but if I could retrace to the first pure feeling of love that I ever I felt for her, it was at that very moment when I first made her laugh while in the arms of another man. Despite that, I swore her smile lit up the room with this undescribable wild incandescant light and everything around me melted away. Nothing else mattered to me anymore, all I ever wanted from that moment on is to make her smile. Forever. I kept dreading looking at the clock in the hallway as I knew our meeting would be brief & so woefully short. I needed to really befriend her. While her fiancé left for the bathroom, I asked her if its okay for me to add her on Facebook. She gave me a quizical look and glanced at the entrance to the bathroom like as if she was checking if her fiancé was on his way back. She looked me in the eye and said: ""I'm sorry I'm not on Facebook anymore, too many weirdos out there. Anyway it was nice meeting you, I really gotta go join my fiancé now. Seeya around!""I wish I could, I really really wish I could, I thought wistfully as she left my presence as suddenly as she had brighten up my sad little world. I had wanted to ask for her number but I felt it would creep her out if I did. I remembered clutching my fist with anxiety deciding if I should ask for it anyway but before I could rise from my table, I saw her enter a bright red Porsche along the drive way and my hope & dreams dashed into the rush hour traffic. I felt so lonely and angry as I glared at the giant cross along the hallway and I thought to myself:"" It’s okay if its not Your will, I'll make my own plans.""I stormed back into the wedding hall, fished out my work phone and found the lead bridesmaid. I rushed over to her frantically and said, “hey u know R right? I think her fiancé left his phone on the table just now.” as I pretended my own phone was R’s Fiancé’s. “Can we call her to get it back?”As luck would have it, she was in the middle of counting the angbaos so she passed me the guest contact list.Jackpot.I perused the contact list and saw R’s number listed under Mr and Mrs K. I took a snap shot of the number and returned the booklet to the lead bridesmaid. I hurried back into my car, added her phone to my WhatsApp and I saw the profile pic was that of R and K, her Fiancé in a loving embrace taken most likely as a pre-wedding shoot. They looked like two graceful swans in a mating dance and they looked so happy together.“But What about my happiness?”, the devilish voice in my head croaked. I then spent literally an hour+ in the car typing and retyping dozens of lame excuses on how I got her number, staring angrily at K’s gleeful smile like as if he was mocking me. The thought about her comment on how Facebook is filled with weirdos haunted me. I couldn’t get it out of my head as I tried desperately to press the send button furtively. I will just be seen as a creep was all I could think of. I just couldn’t bring myself to do it and have her think of me that way: The toad that I am. The unsent message sat on my phone for months until one fateful day while I was in a late night meeting, I saw my Facebook message lit up with R’s name on it. I had to rub my eyes cos I couldn’t believe what I saw. I almost fell off my chair.”Hello! I am back on Facebook cos our families needed us to post our wedding photos & I discovered security settings! Heh.Anyway I dun usually add guys on FB but since you are P & S’s friends I thought why not? I din realize u added me so many years ago. We are now in Europe & I hope you are well! The weather is amazing!” I still keep that message & look at it from time to time. How something so innocuous could become the most important aspect of my sad miserable existence. I will post more in due time and thank everyone for your patience. (To be continued…)-#100416: https://www.nuswhispers.com/confession/100416","['Like: 34 people', 'Haha: 6 people']",19 comments,11 shares
100124,"Some days I just really hate myself for being introverted. Most times I’m okay with it, but some days I get lonely because I’m at the level where I’ve realised unless I overcome it, or find a truly understanding partner, I’m likely to be alone my whole life.It caused issues before as the most I can spend with someone I like and love is maybe several hours, then I need time alone to myself, every day. When I say alone I need like a solid block of 4 to 5 hours.If my energy is spent at work, then I can’t even fork out much energy to spend time with a person I care for.And I mean I know it’s unfair to the other person too.I just wish I was different on that. Because it’s not wrong to be this introverted but it’s difficult and I don’t know how to overcome it, or if I should.-#100124: https://www.nuswhispers.com/confession/100124","['Like: 31 people', 'Care: 9 people', 'Sad: 4 people']",7 comments,1 share
100142,Hi guys.Just looking for some hope and strength.I'm a second-year at NUS and I just got diagnosed with a very rare form of ovarian cancer. Stage 4. I have a huge crush on a guy. I was working up to a confession when everything happened. The news kinda put me off a bit. I just want to focus on getting better. My doctor said my disease is curable.Does anyone have any experience dating/marrying a cancer survivor? Is there a stigma in Singapore against people with such a difficult history? I'm so afraid right now that I will never be able to experience the joy of falling in love and spending the rest of my life with another person.-#100142: https://www.nuswhispers.com/confession/100142,"['Care: 215 people', 'Like: 79 people', 'Sad: 51 people']",42 comments,4 shares
100143,"Troubled guy.My Gf and i were together for almost 6 years. it was a wonderful 5 years, treats me and my family superbly great. However things get worsen when we start quarreling.( Which couple doesn't quarrel ? ) of cos .. this time was different.We starting playing the same mobile game. ( After Life ). She very engross in to playing the game, where i was like those, clear mission and moves on...till one day i stopped playing the game as i get bored.As for her, she became addicted. We spent lesser time together at the start of this year, seldom text . bah bah bah, and we don't phone each other that often ( maybe once a week, but just to ask for daily needs, Da-bao? what do you want for dinner?) Let's skip to the part where is was her birthday.. 30th birthday. Only once in a life time right?..Yep, as u know la~ covid-19 ..at point of time, we cant head out for dine-in.so I contacted her sister, we planned to have an dinner at my place.Of course... present is a must, so to surprise her... In total, I brought 30 gifts to make up for the fact that I had missed her birthday in her life.On the actual day itself, most of her best friends and sister turned up.( Up to 5 pax la ~ if you are wondering) But she doesn't seems happy. (was on her phone all the way playing game as usual)... at this point of time i wasn't sure if I've pissed her or did anything wrong...the next day, her sister texted me and asked if i had made her a cake personally, well of course i did not, this is where I become suspicious.Her sister told me that in their family Wechat group, she was touched when she received the cake. what the hell right? Of course i went to confront her about it ( in whatsapp ) , she didn't pick up my calls or return my text the whole day.The following day, she finally text, she was a break from this relationship.She told me to take back all the 30 presents and my stuff from her house.Yep, i anticipated this out come. I agreed, and told her i dont need the present.Maybe I wasn't good enough.Come on guys, Of cause i feel unfair....you can say guys also have 6th sense la~ .. i login to the game where were once played together, Guess what i saw..These are the exactly words ( This is the convowith her and another guy )G = Girl B = Boy---------------------------------------------------------------------------------G : "" Rest assure, My sister friend will not be bothering me anymore, I have already settled it""B: "" Really?! When was it? ""G: "" Yup, just only. I told him to take back the 30 present too""G: "" he said don't need , from now on he will not bother me anymore""B: "" Har? What good stuff did you do when i was asleep?""G: "" I want to give u a peace of mind, i want to be with you""B: "" Wow, i am so happy""G: ""hehe, you must treat me good, cherish me ok? Love you ""B: ""Why so sudden?""G: ""Its ok, i feel that i should do it, i felt better now"" B: ""Of course, even if you didn't settle it, i will still love you""G: ""I know i haven't been loyalty to you, i am trying to be better""B: "" Hahaha""G: ""Now next, i have to talk it out with my family and let them accept you,I had not talk to my sister too, but i believe she will support what is my decision""B: ""Dont worry, I will try my best to support you""G: ""And you, don't keep thinking that i have given up alot of things for you,Actually i felt i have gain more after being with you. I dont want you to think this way, if not we will have alot of doubts in our relationship. ok?""B: "" Mua, I love you ""B: ""So , i will be the last man standing of your life"" G: ""Yes! This time i will not think too much, lets do what we have planned, one step at a time""B: "" Wifey, lets be strong! G: "" You are my only husband""-------------------------------------------------------------------------------------Well , it has been 3 months, i still cant get over the fact that I've lost to a self made cake.PS. The game guy is from KL, The cake was only sent via Whataspp.So tell me what went wrong?-#100143: https://www.nuswhispers.com/confession/100143","['Haha: 48 people', 'Like: 28 people', 'Sad: 18 people']",59 comments,22 shares
100159,"There's this guy who I've seen always appears between 7pm and midnight around U-Town (rock wall to Octobox, around the toilets) on the ground floor. He usually wears a singlet/cap, is dark-skinned and will always stare...It's extremely creepy,  kind of stalkerish. There were several times already where I saw that he will pace back and forth and stare in my / some other people's direction and hover around a particular location. I've seen this happen more than 5 times already fuck. Should I be concerned? How to report security if I personally never witness him do anything wrong, but just creepy AF?!-#100159: https://www.nuswhispers.com/confession/100159","['Haha: 12 people', 'Like: 11 people', 'Care: 2 people']",0 Comments,14 comments
100405,"Hi all, I had a talk recently with my girlfriend, and she said she feels tempted by other men, I mean after all temptations exist, its whether we choose to act on it right. She has also said that she will not act on it... Is this a red flag? Should I be worried? I mean after all temptations exist, its whether we choose to act on it right.-#100405: https://www.nuswhispers.com/confession/100405","['Like: 15 people', 'Haha: 8 people', 'Care: 2 people']",23 comments,1 share
100410,I love our uni but let's be honest. NUS's email and online library system suck so much.-#100410: https://www.nuswhispers.com/confession/100410,"['Like: 8 people', 'Haha: 3 people', 'Wow: 1 person']",0 Comments,6 comments
100412,"Nurse appreciation postSaw the news on how a large number of healthcare workers resigned this year. I understand it can really be hard on all of you especially during this period of the pandemic and it doesn't help when patients or the public mistreat you ever so often. Just want to say I appreciate you nurses - I was 20 yo when I had a major surgery in NUH a year back. i stayed in the ICU for a week and it was one of the most painful and miserable moments in my life. My whole head was in so much pain and pressure like it was about to burst, I am unable to speak, eat or move by myself independently but it was the nurses that so kindly and patiently clean my whole body, feed me and did many other dirty jobs just to take care of me. They weren't disgusted but was so happy to do so.They differ so much from other HCWs I encountered that time, I was taken to the radiographers to get an x ray to see the healing progress of my fractured head. During the process, they got me to stand from my wheel chair when I lost my balance, felt dizzy and vomitted - i couldnt apologise as I couldnt speak due to my injury. As a result, their face expressed strong disgust and impatiently instruct and assist me during the x ray process. Hence, coupled with the first paragraph, I learn how to appreciate nurses and have deep admiration for them. I couldn't expressed my gratitude properly the last time but I found myself suddenly crying out of thankfulness when I thanked the nurses and I'm tearing as I am typing this.They are truly the biggest reason why I volunteer so actively in nursing homes and why I am currently pursuing to become an allied health care professional.-#100412: https://www.nuswhispers.com/confession/100412",['Like: 80 people'],1 comment,3 shares
100409,"We’ve been together for nearly 2 years now…At first, we were lovey and you were always so patient with me and you would always tell me how much you love me, and would do anything for me. It was a really happy relationship. I would also often do things for you, buy things for you and pay for everything whenever I could.I do this because I love you. After a few months you get a little impatient with me, so you shouted at me, showed me attitude. We all have our bad days right? I had too, but you also said unkind stuff about my family and I. It was so mean that I cried, but when I talked to you about it, you gaslighted me and made me the one comforting you instead.I swallowed it because I love you.A year in, this gets worst and worst. Even though you still say you love me, you buy me an expensive gift on Valentine’s Day and spent a lot of money on my birthday, you went to the extend of worst gaslighting, physical & mental abuse. You also spent all my money and told me “I didn’t tell you to”, break all my stuffs, you hit me when you are angry, you threatened to suicide after you say mean stuffs to me and about me that are not true and say shit about my family.I swallowed it again because I still love you.One and a half years in, you continued treating me like shit and is always in doubt that I may not be faithful to you when I gave all my heart to you and would always be there for you no matter what. So My friends told me to call it off because they saw how you treat me when we were hanging out with my friends. They hated how you treated me even when I don’t tell them what’s happening between us. My family told me that if I continue treating you like a princess, I would be dead tired and they feel heart pain for me too. So they asked me, how long more can I take this?I pushed everything aside, and told them “no, she is treating me better than before, I still love her and is happy to be with her.” Even when they told me I look very very tired. I swallowed it once more because I still love you.Almost two years in, your attitude towards me just keeps getting worst… I have to admit that I am indeed very tired. I am sorry I can’t keep you happy with your wants and needs. Unlike you, I do not come from a rich family. I am also not as pampered as you are. Even though it is not a lot, but everything I have now is because of my hard work. I have exhausted all my money and energy on you and for you and now you’re still treating me like I’m nothing. You always tell me you love me, but do you really love me or do you love the idea of having someone that does everything for you? Yeah everyone loves that, but when you do not reciprocate, the giving party gets tired…No matter how much I love you and want to be with you, I have to admit that I am tired of doing this.. but I do not want to end this because I still want to fight for you.People reading this, I know that some of you guys will say she is right because she didn’t ask me to spend on her or do stuffs for her. I know it’s my own fault for doing so, but when you love someone, you’d do anything for that person right?Guys, I really need help on how I can make things better… There’s no gong tao here ok. I just treasure her a lot and she truly makes me happy, these are just the unhappy stuffs that happens let’s say 65% of the time.-#100409: https://www.nuswhispers.com/confession/100409","['Like: 31 people', 'Care: 28 people', 'Sad: 12 people']",54 comments,10 shares
100408,"I have a long time friend of 10 years and both of us have seen one another through multiple heartbreaks, the problem is, her heartbreaks are always with the same guy. She's dating this guy 5 years older than she is and over the course of their 4 year relationship, he has broken up with her at least 7-8 times for ridiculous reasons like ""you're too clingy"", ""you're not mature enough for your age"" and come back to her again within a month or two. Ever since she started talking to this guy and sharing w me about the things he does to flirt w her, I've told her (even our group of friends have told her) to stay away from him, but she didn't listen and even got tgt with him behind our backs. From drinking w his ex gf one on one, to heading out late at night and lying to her, he has done so many red flag things but she still sees him as a saint. She comes to me every now and then crying over how she made a mistake and now he wants to break up, and no matter how much we try to get her to see how much of a scumbag this guy is, she STILL GOES BACK TO HIM. Even when she sees the way our bfs treat us vs how her bf treats her, she thinks that her bf is still good.. He doesn't even respect her! I'm beyond disappointed in her and now seeing her texts, igstories, etc. pisses me off and I wanna cut her out of my life and yet at the same time, I care too much to do that. I want to break them up for her own good but fear she'll hate me for life.Her parents are even approving of this guy without even knowing the shit he's done to her. I'm so freaking done.-#100408: https://www.nuswhispers.com/confession/100408","['Like: 21 people', 'Haha: 15 people', 'Care: 3 people']",19 comments,6 shares
100404,"Just saw the news about healthcare workers resigning.. honestly I get it. I just graduated this year and entered the healthcare industry in a certain hospital..Everyday I get scolded by at least one patient, not for my skills but just things out of my control/ them simply venting anger on me.Everyday I question myself, did I really study so many years in NUS just to be here to get berated by strangers every day? Its really mental torture and its giving me anxiety everyday. Should I leave my job alr? Its only been a few months but I dont think I can do this anymore. Entering the healthcare industry really makes your empathy level for others go from 100 to -1000.-#100404: https://www.nuswhispers.com/confession/100404","['Like: 191 people', 'Care: 126 people']",99 comments,35 shares
100403,Hey guys I need your help! I get so jealous and annoyed when my boyfriend cancels plans with me to go hangout with his friends. He does spend  time with me once a week but I get annoyed when a plan is postponed last minute. I spoke to my boyfriend about this but He is the type that just does a lot of things last minute and I’m the type that likes planned and organised schedules. How do I deal with this? I feel like I should be flexible but ITS SO HARD TO BE ????-#100403: https://www.nuswhispers.com/confession/100403,"['Like: 18 people', 'Care: 8 people']",26 comments,1 share
