Reference,Date_Clean,Content,Comment,Share,Angry,Care,Haha,Like,Love,Sad,Wow,No Reactions,No Category,Advice,Ask Prof Ben,Funny,Lost and Found,Nostalgia,Rant,Romance
#102626,2022-03-25,"tl;dr: Being forced to use manipulative dating techniques to get a girlfriend as a guyRelationship advice perhaps. Ive been in the dating scene for some time but I am wondering if I am getting it wrong here. Background: I was someone who couldnt get a gf anywhere for pretty much the first 21 years of my life, and I always tried my best to be like a good friend to my female friends in general, and to girls that I liked, it was the same. Generally, I tried to do it the 'proper way' like just tried my best to be there for them and text them as often as I could, and always respected physical and verbal boundaries when I was with them, and when I confessed after knowing them and confirming I did have interest in them, I would always be friendzoned.So at like the second year of uni, I was starting to feel jaded and I decided to ask and learn from my other friends who pretty much were dating all the time, and they werent exactly very good looking either. I cant remember all the advice they gave, but some were like, asking girls questions about what you should buy, even though you already know what you want, keep commenting on their looks even though you dont really feel like it, and to use playful touches when with them, and keep bumping into them when you are walking with them, and purposely time and phrase your messages to keep the interest. And the key they said, is to do it early on before you become friends. I hated the idea of doing all these as they felt so manipulative, and I believed that you have to actually like the person first and be honest with your feelings all the time.But one day I gave up and decided to use the above few techniques on a girl that I met online, I wasnt that interested in her at that time, but I decided to yolo and do those on our second meeting. And guess what, that was how I found my first girlfriend. The love did eventually come, but I felt so uncomfortable to be doing those ""manipulative"" actions to someone I didnt even know well yet. We have since broken up after a year due to other reasons. And now that I am back into the dating scene at age 24, I tried to date/woo others through the way I think was right, being a good friend first before going further, and so far all failed, and that one other girl that I manage to date for like 2 months was gotten through using the ""manipulative"" techniques. So yes, is that how dating works? Are women so superficial at the start of the relationship? I am sure the eyes do get opened in the end, but is being crafty and calculating at the start the only way to get a girlfriend? Would like to get some views.-#102626: https://www.nuswhispers.com/confession/102626",31 ,11 ,0,0,20,26,0,0,3,0,0,0,0,0,0,0,0,1
#102625,2022-03-25,"Recently just found out that I'm a homewrecker. I've been in a relationship with this guy for around 2 years, and only yesterday did I find out that he's actually been married the entire time we were dating. I tried to reach out to his wife and meet with her to explain my point of view, but when we met up, she just slapped me and left after calling me names like ""whore"", ""slut"", ""homewrecker"" et cetera, didn't even let me tell her that I had no idea he was a married man.He has since cut off all contact with me, but I still feel so guilty. I didn't mean to be the third party in their relationship, you know? This was totally innocent and I truly thought we were in love. What hurts me the most is, aren't girls supposed to support girls? I know his wife will definitely be shocked and angry by the news, but don't you think I'm a victim too? Instead of hitting me and calling me names, why don't you ask your husband why he wasn't truthful to the both of us?-#102625: https://www.nuswhispers.com/confession/102625",66 ,6 ,0,0,21,55,0,27,0,0,1,0,0,0,0,0,0,0
#102641,2022-03-25,"My boyfriend and i have been in a rs for about 2 years and throughout the whole rs, i felt safe and secure when i am with him, he never fail to reassure me whenever i felt insecure, he will always try his best to ensure that i am not neglected.However recently, i found out by chance that he has been emotionally cheating on me by s**ting with other girls on multiple platforms for a few months. I confronted him about it and he revealed to me that he has certain fetishes and kinks thus he did what he did... he told me that he never meant to hurt me and he loves me very much and that he did not think of much at that point as he remained anonymous through out the whole s**ting situation. Honestly i don't know what to feel and do because how can u say that u love me when u know very well that the actions u chose will hurt me at the end of the day? I know that there will be a lot of people who will think that it isn't that big of a deal because 1. he did not meet up with other girls 2. he did not cheat on me physically 3. it was anonymous. However, please do not invalidate the way i feel because it still did hurt me a lot emotionally... i still love him a lot and i don't know how can i ever trust him again. After the whole situation i decided to give him a chance as i still love him and i am willing to rebuild trust he broke but there are still times where i feel overly insecure. When this happens, he will always try his best to reassure. Often, i will try not to bring up about that past situation because i know it will cause a lot of unhappiness and arguments but whenever we quarrel i will always worry and overthink that he is doing the same thing again and i cant seem to stop my mind from thinking that way. How can i stop it? There are also nights when those thoughts seem too affect me till the point where i cannot function and i will cry myself to sleep because i am afraid that i will lose him and that i am not enough. Sometimes i blame myself for not being strong enough... i really hate this feeling and i do not know what to do...-#102641: https://www.nuswhispers.com/confession/102641",24 ,10 ,0,8,0,8,0,10,0,0,0,1,0,0,0,0,1,1
#102642,2022-03-25,"Anybody feels or felt lost when they are about to graduate and enter the workforce? I used to feel excited about entering the workforce. But these days, I just feel empty and lost. Everybody around me is asking me ""oh where do you want to go"", ""are you applying and looking for jobs alr"". But srsly, I don't know where I want to go or what jobs I want to do. The pressure from my parents to get a well paying job is also draining me. It really makes me ponder if I can walk on my own pace and not perform up to my parents' expectations. The pressure from my parents and me not knowing where to go is so much that I don't feel any emotions. I just feel sick to my stomach every day. So if you ever experienced this, how did you overcome it? Because I really need some hope now.-#102642: https://www.nuswhispers.com/confession/102642",7 ,2 ,0,1,0,14,0,1,0,0,0,1,0,0,0,0,1,0
#102637,2022-03-25,"My BFF got married about 3 years ago. Everytime when I meet her she will say demeaning things about her husband. Things weren't so bad when she was dating him. She is the only child and her husband actually was willing to live together with her parents under one roof when they got a new place. I think he should be a nice guy coz I don't believe many son in laws will be willing to do this.Now she will complain about how useless he is. He always wants sex. Can't do chores properly. Say his hobbies are stupid. His shopping purchases are ridiculous. Don't know how to appease her when she's mad with him. Basically she will keep saying how unhappy she is with him. The amount of negativity is affecting me. Makes me wonder if it's worth it to get married at all. Makes me wonder why did she get married to him if she hates him so much. I know my friend is a very fussy and controlling person to begin with. I've holidayed with her before and she was controlling af. So I stopped going on oversea trips with her because I'm a very nuah person. I don't want to abide by 20 rules when I'm sharing a hotel room with her. She is a very loyal friend though, that's why we are able to be friends for so long. I wanted to mind my own business and just let her rant to me. Until I realise not only she is talking to me about her husband this way, she is talking to him in a demeaning way in public too. Once he picked her up and he was running late. When he arrived, she just openly let go at him, in front of me. I find it embarrassing for him that she didn't even give him face in front of her own friend. And this was not once but a few times whenever he shows up. I know it's not my business but her rude behavior towards her husband is really starting to affect me. I don't believe this is normal. Where's the basic respect? Would it be inappropriate to tell her to be kind to her own husband? At least in front of me. I find her behavior veering on the abusive side already.-#102637: https://www.nuswhispers.com/confession/102637",41 ,9 ,0,8,0,39,0,13,0,0,0,1,0,0,0,0,0,0
#102631,2022-03-25,I went on 2 dinner dates with a guy I met on dating apps. I'm quite new to this so you can say I'm a noob. Twice he spent the entire duration of the dates avoiding eye contact with me. It felt weird. I was not wearing revealing clothes so it's not like he was trying hard not to stare at my chest or what. But he was not even looking in my direction at all when we are talking. I would like to think I'm pretty attractive but the exchange made me feel maybe he finds me ugly or he is just shy in person or he is outright weird.We had pretty good chemistry when we are texting so I wasn't expecting this. I would quite like to know him better but after the 2 meetings I'm not so sure. He asked to meet again for the 3rd time and I don't know if I want to see if he will spend the entire duration avoiding eye contact with me again. I don't feel comfortable asking him this because I don't know we are that familiar with each other yet. Would you meet him again if you're me?-#102631: https://www.nuswhispers.com/confession/102631,53 ,2 ,0,4,3,17,0,0,0,0,0,1,0,0,0,0,0,0
#102629,2022-03-25,"Is it just me or does everyone else find it difficult to make friends at work too?I graduated and started working one and a half years ago. The colleagues who I work with are very close to/around my age, so I thought making friends will be easy. But that’s not the case…I have realised that there are not a lot of colleagues who will chit chat and share personal stuff like how normal friends do. Majority will only talk about work-related topics. They seem uncomfortable talking about personal stuff even during casual settings like during lunch.Even after working for a year, some colleagues still don’t even open up. (Not sure if it is due to covid where we have to work from home, so we do not get to interact face-to-face much. ????)I really want to be a friend with a colleague… but that person seems to be keeping me at arm’s length. Sometimes, it just got awkward between us where we had no topics to talk about. Now that we are not longer working on the same project, it is even difficult to find a chance to talk to that colleague.We would text each other in the past but only for work-related topics. And since we don’t work on the same project now, we totally stop texting each other.(Advice please!) I’m wondering if i should give it a try to text that colleague to meet up for a meal despite knowing that the colleague will reject me (since he/she may feel awkward as we are not close?)? I really want to be friend with him/her so badly but I don’t know what to do..????-#102629: https://www.nuswhispers.com/confession/102629",0 ,13 ,0,3,2,12,0,0,0,0,0,1,0,0,0,0,0,1
#102645,2022-03-25,"Taking this chance to share a kind soul act.I have chanced upon this girl a few times around my estate and in school. Every time I see her, she will be offering help to strangers. I have seen her assisting a handicapped woman to cross the road. I have seen her purposely walked slower to accommodate to an old uncle with walking disability. I am surprised that she studies in NUS as I saw her on the bus helping a fellow student as the rest on the bus stood still without caring.  It’s rare to see young people like her being helpful and more importantly real. She seemed tired and stressed and I hope she’s doing okay. So to the girl with a grey kanken bag who alighted at yih, I don’t know your name but you made an impact. I just want to give you a shoutout and say thanks for doing good deeds along the way.-#102645: https://www.nuswhispers.com/confession/102645",0 ,2 ,0,0,0,48,4,0,0,0,1,0,0,0,0,0,0,0
#102627,2022-03-25,"I have been married to my husband for 11 years with 2 beautiful children. As a full time working mother, besides juggling with my busy work I have to handle all household matters from chores to helping kids with their school work and only get to finish up my outstanding work after the kids have slept. Though giving birth is partly my choice and I was willing to do it even when it means my career progression will be slowed down. During this period I am fully supporting my husband with his work commitments as he usually end work later due to meetings and I had to settle the kids. Recently my husband had a good bonus and months ago he promised that if he gets a good bonus he willl share an amount that we had agreed with me. He had just received the payout not long ago and now he is giving me half the amount that we had agreed previously and when I got upset he said I was being greedy to ask for more. I felt cheated because he broke his promise and looking back how I have been supporting him so he can focus on his work and the fact that he has been receiving promotions ever since we got married just made me felt he didn’t felt like I played a part in his success. Do you ladies feel I am being greedy? Would u just accept half the amount and shut up?-#102627: https://www.nuswhispers.com/confession/102627",43 ,4 ,0,0,5,8,0,7,0,0,0,1,0,0,0,0,1,0
#102632,2022-03-25,Alert! Recently got phishing email target NUS student which sender appears as the same nus email address and tell you you need to pay money cause he got control of your email and everything-#102632: https://www.nuswhispers.com/confession/102632,0 ,0 ,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
#102630,2022-03-25,"Looking at post 102596 and 102614 and really relate to both of it now. I'm barely 1 year into my job since graduation and I already feel like quitting. It feels like I give up too quickly and I wonder if I should give it more time.For context, my degree (CS) is in a different field of study from my diploma (banking), so I have already made the jump once. This jump wasn't drastic as it is still going from a diploma to a degree with no additional time spent in between. During my 2nd year, I felt interested in another field (horticulture), but I thought about my sunk cost. I now am not sure if I should consider a jump at this point of time, especially since the difference is so huge that it is going to take much more time compared to my 1st jump.I'm also worried that it would be a decision I made without giving enough consideration and come to regret it. I cannot be changing my career every single time and will have to settle down eventually. Can anyone who has also made drastic jumps in your career / field of study share what factors you have considered and what helped you made the jump?-#102630: https://www.nuswhispers.com/confession/102630",0 ,0 ,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0
#102635,2022-03-25,"It is naive to think that people will be responsible and automatic. Especially when their entire family has caught it.Since the people who matter to them already caught it, they wouldn’t be looking out for you. Does it matter to them your grandma is 98years old or if you have a 2 months old nephew? No of course not. Many people are selfish. One of them, upon being a close contact, avoided meeting his fiancee for 2 weeks but has no problems interacting with friends and acquaintances, acting as though he wasn’t a close contact.they clearly know that they have a risk of being infectious and chose to only protect the people who matter to them.If someone were to caught it from them and pass to vulnerable family members, these selfish people wouldn’t even care.-#102635: https://www.nuswhispers.com/confession/102635",3 ,1 ,2,1,0,13,0,0,0,0,1,0,0,0,0,0,0,0
#102628,2022-03-25,"I am the confessor #102600: ( I am still in dilemma whether I did the right thing or not)I am writing to let all those who commented know how much at ease I feel now knowing your views on my action. Its been almost 1 year plus and she is still in the block list. I confronted my husband as to why he does not want to block her but is ok for me to block in his phone to which he said he does not see any reason to block but will allow me to do so if it eases my mind. As per him, a person who wants to cheat will cheat no matter how many times you block the other person from their phone. I hate it when he is right. My husband has many female colleagues and he has been very professional with them all. I never really had any issues and I don't think I am that type of wife who controls their husband. I have no control over what he does or who he sees but if he crosses his line I will surely leave. I am not here to fight for a cheat and if he is easily wooed by that type of women, I will let her have him. Thank you all for your support. You have no idea how badly I needed to hear it coz I am usually not this type of person who would initiate such talks. Like many said, its upto my husband which I agree but when someone comes with alot of sad stories, you can't even chase them away.-#102628: https://www.nuswhispers.com/confession/102628",0 ,5 ,0,2,0,12,2,0,0,0,1,0,0,0,0,0,0,0
#102624,2022-03-25,"Did I do wrong?From the entire of my life, Just feel that i am just people's shadow, trying to change myself to become what people expect, treat friends that i made with my whole heart , in the end just being used again and again, none of my friends i can rant to, Family have lots of burden putting on me, need to feed at least 7 person with my salary, and i lost quite a lots of friends, idk what should i even do right now, feel really lost and think of myself why am i so stupid, Sorry for my ""singlish"" LOL, What should i even do, i don't really know....-#102624: https://www.nuswhispers.com/confession/102624",4 ,1 ,0,0,0,4,0,6,0,0,0,1,0,0,0,0,0,0
#102615,2022-03-25,"My brother is engaged to a woman who doesn't love him. Why do I know? Because she told me. My older brother has known this girl since they are teenagers. After I've known her well enough I find out she's actually not a trustworthy person. She has cheated on my brother a few times throughout the course of their relationship.and my brother had always forgiven her. Our family is pretty well to do and my brother proposed to her with a 1 carat diamond ring when he finished reservist. Her family has some money too so I don't really believe she is with my brother for the money but I may be wrong.My mom was a business woman and had sold her business before she had passed away around the time when we are in our teens and the girl was my brother's gf then so the gf had been his lifesaver from self destruction during that hard time. I felt my brother was using that hard time of grief to convince to himself that he should marry this girl. My dad has his own separate business and has always been distant towards my brother after mom passed away. So I feel I am the only one holding the family together.The girl actually cancelled the engagement after a few months. My brother was determined that she will change her mind. The girl's parents threatened to kick her out of the house and forced her to continue the marriage preparations. When I met her and talked to her about it, if she wanted to return the ring, what's going on, she didn't plan to return the ring and told me she actually don't love my brother anymore but she will try and make it work. I told my brother what she said to me but he didn't believe me. He accused me of trying to mess up his wedding and ruin his happiness. I believe he knows she doesn't love him anymore but he was determined to 'own' her.   She may have been ok when they just started, but she's completely different now. I don't want such an awful woman to marry my brother or be my sister in law. Why can't my brother see something is so wrong? Its not love, it's like a trade and they are selling their daughter to my brother for money or something. I felt even if I show my brother a video proof of her cheating, or audio proof of what she said to me, he also may not believe me.So many red flags when the girl ask my brother to get a landed house or condo near her parents. Her parents also suggested to him to pool money together to buy a landed house in town so all of them can stay together. My dad opposed and offered to get the couple a condo near us instead.I don't know if anything will change if I tell my father. Or will anyone believe me. Am I overthinking? Because everything seems off. This doesn't feel like a loving union. This engagement looks like a business trade.-#102615: https://www.nuswhispers.com/confession/102615",26 ,3 ,0,5,0,36,0,17,0,0,0,1,0,0,0,0,0,0
#102622,2022-03-25,How do you achieve the level of indifference if you keep bumping into your ex while working in the same company? I finally let go of my ex after knowing that I was taken for granted. She moved on fast and is already in another relationship less than half a year after we broke off. I no longer love her but I can’t help but to be so disgusted by the thought of her and by how I was treated. I tried hard to dismiss them but it doesn’t help that I keep bumping into her every now and then. I don’t even want to hate her. Any tips so I can learn to be indifferent about her?-#102622: https://www.nuswhispers.com/confession/102622,24 ,2 ,0,0,0,12,0,4,3,0,0,1,1,0,0,0,1,1
#102623,2022-03-25,"Typing with a heavy heart. 10 years of relationship, 5 years of marriage, 3yo child, a husband whom I found was cheating on me with his colleague for the past 4 months. She filled up the gaps when my priorities were obviously on our child and house. I kept the house clean and tidy, ensuring they are both always fed during meal times, bought all necessities for the house. He paid for everything else for all the monthly household expenses, i never had to worry. But I neglected his mental needs. He wanted attention from me but knew I'm always attending to my needy toddler. Being athletic, he loves running he love outdoor activities. He was a doting husband no doubt. But he found himself getting more lonely. We have been talking since a few nights ago, tonight he finally opened up. He's not the type who speaks up when unhappy but I told him calmly I wanna listen to his thoughts, not what he wants to do to redeem his deeds. After 2 nights of confrontation, tonight I told him I can forgive but I'll never forget. I'll slowly pluck out that thorn and hope it will be filled with his acts eventually. I'm not perfect either, to save this marriage, I have to take that step back. We promised to work out the differences together.Msg to all wives: I hope you'll never encounter something like this. I never thought I would either. I hope this major test will make our love and marriage even stronger, and make sure the husband's needs don't get neglected even after having children. He comes into your life first after all.Msg to all husbands: When your heart starts to waver, think of what made both of you ended up together, not just act on impulse, attending to your emotional needs. We are not the worms in your stomach nor is ur heart transparent to us. Please communicate, unless you are set to give up your family the moment you start to cheat. Is it worth it? Your call.-#102623: https://www.nuswhispers.com/confession/102623",62 ,70 ,0,175,0,294,0,68,0,0,0,0,0,0,0,0,0,1
#102621,2022-03-25,"Did I do wrong?My child is in lower primary level. She is on good terms with this boy in her class as they are also from the same preschool prior. I know the mother of this boy since they are classmates but we are not close. Recently my child told me the boy says he is not a boy, he is a girl. And he proceeded to tell my daughter to address him by a different (feminine) name. We have read books like 'Good night stories for rebel girls' and have come across such similar topics before so we are not really unfamiliar with this as we've had this conversation before but I am not an expert on this subject too. My child asked me if she should address as him or her and if she should use the name he said. I told my child to ask him how he would like to be addressed (he or she or them) and since he had told her to use his new name, she should use the new name. I assured her he is still her friend, and it's not uncommon some people may feel that they are not assigned to the gender they are born to.Sometime later, I got a call from the boy's mother. I got a scolding from her. She said my child has been calling her son the wrong name and said he's not gay. She was offended and said my child should use his rightful name which is a boy's name. I wasn't expecting such a reaction so I quickly apologized and told her I will talk to my daughter. I don't want to get involved in her family affair for sure. Then how is my child supposed to address her son while they are classmates and friends?-#102621: https://www.nuswhispers.com/confession/102621",42 ,11 ,0,0,0,58,0,35,19,0,0,1,0,0,0,0,0,0
#102616,2022-03-25,"tldr: my boyfriend of 6 years told me that he dated me without marriage in his mindi (25F) have been dating a guy (25M) for 6 years. we first met in poly and decided to get together after being in the talking stage for a few months. throughout the 6 years we've been together, i personally feel that i've been transparent with him towards my views on marriage (i.e. dating him with the intention of getting to know each other on a deeper level and thereafter, be married). so imagine my shock when he casually mentioned to me the other day that he has no intention of getting married, ever.in shock, i asked him, ""what's the point of dating me then? what end goal did you have for our relationship in mind?"" he responded with, ""why must we get married? cannot just stay bf & gf forever meh?""marriage is something really important to me. i believe i've made it clear to him about my views too. maybe i'm too old fashioned? i just simply do not understand why you would date without the intention of finding someone you want to spend the rest of your life with.men, is the prospect of marriage frightening for you? or maybe the idea of commitment?anyway, now that he's made his point clear, i'm not sure if i should continue this relationship despite spending 6 years in it. i mean, ladies, if your boyfriend told you he doesn't want to marry you and just wants to stay your boyfriend, how would you feel?-#102616: https://www.nuswhispers.com/confession/102616",110 ,33 ,0,26,0,56,0,32,0,0,0,1,0,0,0,0,0,1
#102617,2022-03-25,"This issue has been bothering me for months and I really need get this off my chest. I would also like to get your opinion on this. How can we tell if a female is a lesbian/bi without asking her directly?I am a female and I met a lady at work. As we could work from home, we didn’t interact much. She’s helpful. Whenever I needed help at work, she would help me (mostly via zoom call).I think I might have fallen in love with her. I have switched firm so we don’t see each other anymore…but I cannot stop thinking about her.I don’t even know how she feels towards me…maybe she just treat me like a normal colleague… what should I do? It feels so awful to keep thinking about someone who probably doesn’t like you back.-#102617: https://www.nuswhispers.com/confession/102617",11 ,2 ,0,0,4,6,0,0,1,0,0,1,0,0,0,0,0,1
#102614,2022-03-25,"Honest opinions only please. Do y'all think 27 years old is a bit too late to start a new hobby or chase a new career in an industry you have no experience in? I have a small plan to ""reset"" my life but I'm afraid it's too old to start when everyone else already has a headstart.In terms of a lifetime, 27 years old is considered young still, as there are people who are older than that. But this age is also when we are mostly expected to take responsibility for what we are doing and to be mature. At the same time, it's easy to feel old when looking at the early 2000s babies...-#102614: https://www.nuswhispers.com/confession/102614",33 ,6 ,0,9,0,28,0,0,0,0,0,1,1,0,0,0,0,0
#102613,2022-03-25,"How do you know when a relationship is over? When is it still worth trying for? I feel like there have been signs since the beginning that he’s not the right partner for me, but I chose to believe that things will be better and we can make it work. After all, relationships are not supposed to be easy, and growth is when we get through challenges together, right? But recently, arguments have been getting worse, despite some efforts of us trying to be better listeners and to be more mindful of the way we show love to each other. Every time I think things might actually be okay and get better, it doesn’t. He has been trying to build on the trust I have for him and I recognise his efforts, but I’m just not sure anymore. Communication with him is so hard, especially when there’s more on my side and lesser on his. I started seeing a counsellor recently, because my mental health has been declining. I’ve had several anxiety attacks and I cry myself to sleep so often. I’m at the lowest I have been in my life mentally. He is admittedly not the best at providing comfort or solutions, and while I do appreciate his effort when he does, other times I feel like I’m going through this alone. When I think about one day if he proposes, I don’t feel very sure about the “yes”. He is a great guy, but some part of me feels that he is still emotionally unavailable after being together for 2 years? I’m not ready to give us up as we have invested a lot in our relationship. I know 2 years is considerably a short time to some, but there are many things to consider if we were to break up. Our families. Our intertwined lives. He really is great, loyal, funny, filial, and kind, but I just don’t know if we’re right for each other. From what you get out of this nutshell of a nutshell, kindly advise please-#102613: https://www.nuswhispers.com/confession/102613",23 ,8 ,0,5,0,14,0,4,0,0,0,1,0,0,0,0,0,1
#102611,2022-03-25,"To #102605: TBH, I don't know why guys are so judgmental ???? its called 照骗 for a reason. Else apps like Mei Tu won't be earning big bucks. Don't assume how some edits are based on society's expectations such as skinny looks, sharp faces, big eyes, etc. It's the same as guys showing off their XDDs. It's wrong to over-edit lah. But then we are not in a generation of masculinity. Maybe she can lift you ah. Don't need to have 6 packs to prove that she goes gym.-#102611: https://www.nuswhispers.com/confession/102611",5 ,1 ,0,0,10,5,0,0,0,0,0,0,0,0,0,0,1,0
#102610,2022-03-25,"I was ganged up and bullied into resigning from my swe job because I do not have a traditional cs degree, strange thing is that most of the folks over there are from nus soc. Are most of the students there trained to be elitist self entitled snobs who look down on others different?-#102610: https://www.nuswhispers.com/confession/102610",13 ,2 ,0,0,0,20,0,11,9,0,0,0,0,0,0,0,1,0
#102608,2022-03-24,"Hello prof Ben and everyone, like to get your op on my relationship. TLDR- bf (28M) says he miss me (27F) but his action doesn’t match up. For context - bf and I are together for 3 years. We meet weekly on Friday evenings and either Saturday or Sunday afternoons. Apart from that, we rarely met on other days of the week because of work and we stay relatively far from one another (1 hour train ride). Last month he got covid and was stuck at home over the weekends so we didn’t meet. When he recovered and resumed work on Monday, I asked if he was free to meet earlier on Tues/Wed/Thurs because I missed him and wanted to check on him but he say not possible due to work. Then i realised that he had half day off for the entire week as his project had completed and he planned to stay home and rest or gym with his friends instead. This really bummed me out as I miss him and I’m worried for his health but he don’t seem to understand. I asked him about it and he say Im being clingy. He doesn’t see any issue since we are meeting on Friday as usual. I didn’t think that asking to meet just 1 more day in the week is demanding considering we are only meeting a few hrs a week and similar issues has been happening over the last 3 years. Each time he claim he needed his ‘own time and space’ or is busy at work but always have time to gym with his buddies. Even on special occasions such as valentines, anniversary and our birthdays, we will only celebrate it on the same week or the week after, and never on the day itself unless it falls on the dates we are already meeting on. We are only meeting an average of 8-10 hrs a week and he still claims he need his own space? Should i just help him and not exist in his life then?Am I the issue or is he the one with an issue?-#102608: https://www.nuswhispers.com/confession/102608",17 ,5 ,0,2,0,7,0,2,0,0,0,1,1,0,0,0,0,1
#102605,2022-03-23,"I met this girl on cmb. We seemed to have similar interests so I thought I'll meet her for a coffee break. Turns out she's such a liar. She told me she is a fan of a sport that I like but I found out she actually doesn't understand most of the jargon and lingo used. She told me she exercises 4,5 times a week like me but sorry to say, her figure looks more like someone who binge watches Netflix 4,5 hours a day. I try to take a pinch of salt when I see the photos but she over edited hers too much. It's like she brushed away half of her body. I can take it as I made a new friend but I don't appreciate the amount of lying. Not cool man. She told me she's a sporty girl when she's obviously not.And what's with the ton of make up and mountain of fake eyelashes? It's so distracting and vulgar looking. I don't know why some girls think it's attractive. I admit I'm not a 10/10 but at least I don't lie about who I am. What's the point of lying about your looks and interests when the truth will be revealed when we meet? What a waste of my time. It's impossible to meet anyone decent. I should just give up on all these stupid dating apps.-#102605: https://www.nuswhispers.com/confession/102605",88 ,8 ,0,0,76,71,0,0,0,0,0,0,0,0,0,0,1,0
#102596,2022-03-23,"Hi Prof Ben,I am in my late 20s. Been working for 4 years at my first job after graduating from NUS. My colleagues are great and the work is fine. My partner and I just got married and we bought our first house. Everything in my life is more or less ok.I speak to many friends who are in the same life stages and we all share the same sentiments - our life is okay lor. But somehow there's this deeper nagging feeling inside us that we could be doing more with our lives and living our lives with more passion and enthusiasm and purpose instead of going through the motion. Sometimes I think about how the typical Singapore story plays out - study hard to get degree, find a partner, married, buy house, have kids.etc etc and I feel like.....wah very sian leh when I think about the future. It feels so predictable and safe. When I chat with my friends, we do share a yearning to explore and chart our own paths. I have a friend who has a pretty good job but she is thinking of leaving her company to travel for awhile to take break. She can afford it but she is afraid to do so because she is scared she cannot find a job after that. Another friend finally got a long-awaited overseas posting (his long-awaited dream) but declined it cos he scared he cannot adapt well overseas. As for myself, I want to pursue a career switch into mental health as I realised I care very much about supporting others as I've walked the same path too. But I am holding myself back because I think to myself why risk giving up all that I've built in my career now to pursue a passion/desire/yearning that I am not sure will sustain me financially? Will I ever be good at it?Scared we cannot pursue our passion, scared we will never get to meet the right person for us want to have our own freedom and do our own things but also scared never spend enough time with parents cos they getting older. Everything also scared to do. And somehow, after starting to work, I feel like life moves really fast and there's no time to catch my breath. Sometimes when I sleep at night, I'm scared I don't have enough time to do all the things I wish/hoped I could do with my life. Want to do something with my life also scared, don't do something also scared. Really jialat. I'm really scared to speak out too (in office, in public or on online space) although I feel very strongly when someone is doing something dumb or wrong, or when I feel like I truly got things to say. I grew up in the era when the teachers would ask at the end of the class whether got any qns and the whole class is silent. But after teacher leaves, we all start buzzing around amongst ourselves and sharing our confusion. Haha. All don't dare to speak out.  Is life supposed to feel so confusing and tough when we're younger and will it ever get better at some point later on?We all live such good lives (objectively speaking) but deep down I feel that most of our life choices are made out of fear rather than a true passion/love/desire. There's nothing wrong with this. But I feel kinda tired of living this way. I am ok with my life being ok, but I think I want something more. A life with a little bit more purpose and meaning.I know of a couple of friends my age who passed away in the last few years due to illnesses and accidents. It is a very sobering reminder that life is indeed very short and any of us (regardless of age) can go at any time. And when that point comes, I wonder how many of us will truly be proud that we have led a good and meaningful life. Prof Ben, I'm sharing this here because I believe some people might be able to relate too and can benefit from your wisdom and advice. I have a genuine question for you:How can we be more brave with our lives? When all we feel is fear and anxiety, how do we tap on our deep courage and resilience to move forward with our lives?-#102596: https://www.nuswhispers.com/confession/102596",29 ,42 ,0,33,0,148,0,0,0,0,0,1,1,0,0,0,0,0
#102602,2022-03-23,"My husband has a s** addiction issue. What should I do?When we were dating I know his past gfs were all of a different nationality. I was his first gf of the same race as him. We were together for 6 years before getting married. All along I didn't notice anything amiss about him. We have a typical safe and secure relationship I guess. He makes me feel safe. He respects me. He is filial to his parents as well as mine. He is kind to people around him including the cleaners. He doesn't judge or say anything bad about others. He is smart. He has a good career path planned out and he knows what he wants to achieve in life and he involves me in all his plans. To me, he is perfect.When I was pregnant with our first child, I discovered that he had been visiting prostitutes throughout my pregnancy. Not just any type of prostitutes. But a particular type. It was such a rude shock to me and I almost delivered my baby early. I cried a lot before and during the initial months after the birth of our child and I fought with him a lot. He confessed to me he has an addiction. He thought he had gotten over it after we are together but the urge came when I was pregnant and he couldn't control himself. We went for therapy and he also attended therapy for his fetish. I chose to forgive him and start over. More than 5 years later, I thought we have put this behind us. But recently he confessed to me he reoffended again not once but several times recently. He couldn't bear the guilt of hiding it from me so he told me. He beg me to go with him for counselling again. He didn't want to lose me.I am so heartbroken and I feel so lost right now. I thought of separation because I feel I am going mad just having him in the same house. At the same time I feel and wonder how can I help and support him. I love and hate him so much now. I feel so lost. If you're an addict, will you ever get over it? Is there hope for us? I don't think I can go through this again. We only have 1 child. I chose to not have more in case he hurt me again and he did. I have my own career so I do not feel stuck in the marriage. What can I do?-#102602: https://www.nuswhispers.com/confession/102602",277 ,18 ,0,20,0,77,0,49,0,0,0,1,0,0,0,0,0,0
